"brewery_id","beer_name","beer_id","abv","ibu","style","ounces"
1,"Get Together",2692,0.045,50,"American IPA",16
1,"Maggie's Leap",2691,0.049,26,"Milk / Sweet Stout",16
1,"Wall's End",2690,0.048,19,"English Brown Ale",16
1,"Pumpion",2689,0.06,38,"Pumpkin Ale",16
1,"Stronghold",2688,0.06,25,"American Porter",16
1,"Parapet ESB",2687,0.056,47,"Extra Special / Strong Bitter (ESB)",16
2,"Citra Ass Down",2686,0.08,68,"American Double / Imperial IPA",16
2,"London Balling",2685,0.125,80,"English Barleywine",16
2,"35 K",2684,0.077,25,"Milk / Sweet Stout",16
2,"A Beer",2683,0.042,42,"American Pale Ale (APA)",16
2,"Rules are Rules",2682,0.05,25,"German Pilsener",16
2,"Flesh Gourd'n",2681,0.066,21,"Pumpkin Ale",16
2,"Sho'nuff",2680,0.04,13,"Belgian Pale Ale",16
2,"Bloody Show",2679,0.055,17,"American Pilsner",16
2,"Rico Sauvin",2678,0.076,68,"American Double / Imperial IPA",16
2,"Coq de la Marche",2677,0.051,38,"Saison / Farmhouse Ale",16
2,"Kamen Knuddeln",2676,0.065,NA,"American Wild Ale",16
2,"Pile of Face",2675,0.06,65,"American IPA",16
2,"The Brown Note",2674,0.05,20,"English Brown Ale",16
3,"House Lager",2673,0.052,18,"Keller Bier / Zwickel Bier",16
3,"Leisure Time",2672,0.048,15,"American Pale Lager",12
3,"Excess IPL",2671,0.072,80,"American India Pale Lager",16
3,"Hoponius Union",2670,0.067,65,"American India Pale Lager",12
3,"Calyptra",2669,0.049,45,"American India Pale Lager",12
4,"Habitus (2014)",2668,0.08,100,"American Double / Imperial IPA",16
4,"Solis",2667,0.075,85,"American IPA",16
4,"Jucundus",2666,0.06,24,"Wheat Ale",16
4,"Habitus",2664,0.08,100,"American Double / Imperial IPA",16
4,"Grazias",2663,0.063,30,"Cream Ale",16
4,"Claritas",2662,0.058,28,"Kölsch",16
5,"Park",2661,0.047,19,"American Pale Wheat Ale",12
5,"Westfalia",2660,0.056,16,"American Amber / Red Ale",12
5,"KSA",2659,0.046,17,"Kölsch",12
5,"Villager",2658,0.063,42,"American IPA",12
6,"Blackbeard",2657,0.093,NA,"American Double / Imperial Stout",12
6,"Rye Knot",2656,0.062,NA,"American Brown Ale",12
6,"Dead Arm",2655,0.06,NA,"American Pale Ale (APA)",12
6,"32°/50° Kölsch ",2654,0.048,NA,"Kölsch",16
6,"HopArt",2653,0.077,NA,"American IPA",16
6,"Boy King",2652,0.097,NA,"American Double / Imperial IPA",16
7,"Denver Pale Ale (Artist Series No. 1)",2650,0.05,NA,"American Pale Ale (APA)",12
7,"Hibernation Ale",2649,0.087,NA,"Old Ale",12
7,"Whitewater",2648,0.061,NA,"American Pale Wheat Ale",12
7,"Rumble",2647,0.071,NA,"American IPA",12
7,"Orabelle",2646,0.083,NA,"Tripel",12
7,"Lasso",2645,0.05,NA,"American IPA",12
7,"Yeti  Imperial Stout",2644,0.095,75,"Russian Imperial Stout",12
7,"Colette",2643,0.073,NA,"Saison / Farmhouse Ale",12
7,"Titan IPA",2642,0.071,NA,"American IPA",12
8,"Peck's Porter",2640,0.065,35,"American Porter",16
8,"Reactor",2448,0.07,NA,"American IPA",16
8,"Mr. Orange",2447,0.057,NA,"Witbier",16
9,"Dark Star",2639,0.08,54,"American Stout",16
9,"Ryecoe",2469,0.062,NA,"American IPA",16
10,"G. B. Russo’s Italian Pistachio Pale Ale",2638,0.052,NA,"American Pale Ale (APA)",16
11,"Belfort",2637,0.067,NA,"Saison / Farmhouse Ale",16
11,"Star Runner",2636,0.06,NA,"Belgian Pale Ale",16
11,"Tart Side of the Barrel",2598,0.098,NA,"American Double / Imperial Stout",16
11,"Linnaeus Mango IPA",2597,0.06,NA,"American IPA",16
11,"Beasts A'Burnin'",2548,0.07,NA,"Rauchbier",16
11,"Verdun",2542,0.077,NA,"Bière de Garde",16
11,"Barrel Aged Triomphe",2541,0.065,NA,"Belgian IPA",16
11,"Cherry Doppelbock",2504,0.065,NA,"Doppelbock",16
11,"Tropical Saison",2500,0.065,NA,"Saison / Farmhouse Ale",16
11,"Beach Patrol",2499,0.065,NA,"Witbier",16
11,"Nuit Serpent",2498,0.05,NA,"Belgian IPA",16
11,"Paris",2481,0.09,NA,"Saison / Farmhouse Ale",16
11,"The Grand Army",2476,0.055,NA,"Belgian IPA",16
11,"Acidulated Trip",2467,0.059,NA,"Saison / Farmhouse Ale",16
11,"Root Stock",2466,0.066,NA,"Rye Beer",16
11,"Mind Games",2465,0.041,NA,"Dunkelweizen",16
11,"Sous Chef",2433,0.082,NA,"Belgian Strong Pale Ale",16
11,"Dubbelicious",2418,0.065,NA,"Dubbel",16
11,"Psychopomp",2416,0.062,NA,"Belgian Dark Ale",16
11,"Fat Paczki",2382,NA,NA,"Belgian Dark Ale",16
11,"Earth-Like Planets",2381,NA,NA,"Belgian Pale Ale",16
11,"Ski Patrol",2290,0.061,NA,"Witbier",16
11,"Viking Ice Hole",2241,0.063,NA,"Oatmeal Stout",16
11,"Rye Porter",2240,0.056,NA,"American Porter",16
11,"Wizard Burial Ground",2137,0.099,NA,"Quadrupel (Quad)",16
11,"Smoky Wheat",2101,0.051,NA,"Rauchbier",16
11,"BRIPA",2092,0.062,NA,"Belgian IPA",16
11,"Mela",2091,0.062,NA,"Belgian Dark Ale",16
11,"W.I.P.A Snappa",2086,0.053,NA,"Belgian IPA",16
11,"Pepper in the Rye",2023,0.063,NA,"Rye Beer",16
11,"Moe Lasses'",2006,0.064,NA,"American Stout",16
11,"Pumpkin Tart",1997,0.07,NA,"Fruit / Vegetable Beer",16
11,"Undertaker",1977,0.067,NA,"Belgian Dark Ale",16
11,"Undertaker (2014)",1976,0.067,NA,"Belgian Dark Ale",16
11,"Coq D'Or",1974,0.05,NA,"Belgian Pale Ale",16
11,"North French",1973,0.06,NA,"Bière de Garde",16
11,"Agent a Deux",1959,0.065,NA,"Belgian Dark Ale",16
11,"Belgian Wit",1958,0.045,NA,"Witbier",16
11,"Pothole Stout",1949,0.063,NA,"American Stout",16
11,"Tree Bucket",1947,0.093,NA,"Belgian IPA",16
11,"Le Flaneur Ale",1785,0.073,NA,"American Wild Ale",16
11,"Maize & Blueberry",1651,0.056,NA,"Fruit / Vegetable Beer",16
11,"Trebuchet Double IPA",1443,0.093,NA,"American Double / Imperial IPA",16
11,"Contemplation",1352,0.065,NA,"Bière de Garde",16
11,"Black Rabbit",1267,0.05,NA,"American Black Ale",16
11,"Zaison",1266,0.09,NA,"Saison / Farmhouse Ale",16
11,"Vivant Tripel",1178,0.082,NA,"Tripel",16
11,"Tart Side of the Moon",1136,0.098,NA,"Belgian Dark Ale",16
11,"Big Red Coq",1044,0.06,NA,"American Amber / Red Ale",16
11,"Hubris Quadrupel Anniversary Ale",1033,0.099,NA,"Quadrupel (Quad)",16
11,"Plow Horse Belgian Style Imperial Stout",1031,0.095,NA,"American Double / Imperial Stout",16
11,"Escoffier Bretta Ale",909,0.092,NA,"American Wild Ale",16
11,"Contemplation (2012)",873,0.065,NA,"Bière de Garde",16
11,"Vivant Belgian Style Imperial Stout (2012)",860,0.099,NA,"Russian Imperial Stout",16
11,"Big Red Coq (2012)",677,0.062,NA,"American Amber / Red Ale",16
11,"Zaison (2012)",671,0.09,NA,"Saison / Farmhouse Ale",16
11,"Vivant Tripel (2012)",670,0.092,NA,"Tripel",16
11,"Trebuchet Double IPA (2012)",669,0.097,NA,"Belgian IPA",16
11,"Kludde",627,0.085,NA,"Belgian Strong Dark Ale",16
11,"Farm Hand",387,0.055,NA,"Saison / Farmhouse Ale",16
11,"Solitude",385,0.06,NA,"Belgian Pale Ale",16
11,"Triomphe",384,0.065,NA,"Belgian IPA",16
12,"Sparkle",2635,0.041,12,"American Pale Lager",16
12,"North 45 Amber Ale",1404,0.059,25,"American Amber / Red Ale",16
12,"Horny Monk",1403,0.069,20,"Dubbel",16
12,"Mind's Eye PA",1402,0.067,74,"American IPA",16
11881,"Coconut Brown Ale",1496,0.068,NA,"American Brown Ale",12
11881,"Nordskye ",2634,0.048,47,"American IPA",12
11881,"North Third Stout",2153,0.06,30,"Foreign / Export Stout",12
11881,"Honey Lav",1953,0.052,NA,"American Pale Wheat Ale",12
11881,"51K IPA",1481,0.07,51,"American IPA",12
11881,"Grand Rabbits",1480,0.055,NA,"Cream Ale",12
14,"Hotbox Brown",2633,0.055,10,"American Brown Ale",12
14,"Gold",2632,0.048,15,"American Blonde Ale",12
14,"Black",2631,0.058,NA,"American Black Ale",12
14,"98 Problems (Cuz A Hop Ain't One)",2630,0.065,65,"American IPA",12
14,"Veteran’s Pale Ale (VPA)",2629,0.05,40,"American Pale Ale (APA)",12
14,"Grapefruit IPA",2628,0.05,35,"American IPA",12
15,"Train Hopper",2627,0.058,72,"American IPA",12
15,"Edward’s Portly Brown",2626,0.045,NA,"American Brown Ale",12
16,"Dirty Bastard",2625,0.085,50,"Scotch Ale / Wee Heavy",12
16,"Centennial IPA",1565,0.072,65,"American IPA",12
16,"All Day IPA",1223,0.047,42,"American IPA",12
17,"Deflator",2624,0.065,NA,"Doppelbock",16
17,"Hinchtown Hammer Down",2284,0.05,27,"American Blonde Ale",16
17,"Half Cycle IPA",1610,0.06,104,"American IPA",16
18,"Cafe Leche",2623,0.058,20,"American Porter",16
18,"Damascene Apricot Sour",2622,0.052,12,"Fruit / Vegetable Beer",16
18,"Csar",2621,0.12,90,"Russian Imperial Stout",16
18,"Klingon Warnog Roggen Dunkel",1817,0.055,NA,"Roggenbier",16
18,"Overlord Imperial IPA",1449,0.085,115,"American Double / Imperial IPA",16
18,"Alloy",951,0.058,36,"American IPA",16
18,"Rivet Irish Red Ale",950,0.051,22,"Irish Red Ale",16
18,"3 Gear Robust Porter",949,0.052,50,"American Porter",16
18,"Circuit Bohemian Pilsner",948,0.045,35,"Czech Pilsener",16
19,"Saucy Intruder",2620,0.072,75,"Rye Beer",16
20,"Insert Hop Reference",2619,0.058,NA,"American Pale Ale (APA)",16
21,"Thai.p.a",2618,0.07,46,"American IPA",16
22,"Citra Faced",2617,0.055,64,"American Pale Wheat Ale",16
22,"Pole Barn Stout",2616,0.055,31,"Oatmeal Stout",16
22,"Pale",2615,0.054,37,"American Pale Ale (APA)",16
22,"Yoshi's Nectar",2614,0.053,27,"California Common / Steam Beer",16
23,"Feel Like Maplin' Love",2613,0.055,NA,"Oatmeal Stout",16
23,"Father's Beer",2612,0.05,NA,"Belgian Pale Ale",16
23,"The 26th",2611,0.06,NA,"American IPA",16
23,"The Gadget",2610,0.064,90,"American IPA",16
24,"Tribute",2609,0.058,58,"American Pale Ale (APA)",12
25,"Wrath of Pele",2608,0.065,NA,"American Brown Ale",16
25,"Black Beer'd",2607,0.068,NA,"American Black Ale",16
25,"Mr. Tea",2606,0.078,NA,"Fruit / Vegetable Beer",24
25,"Pale Alement",2478,0.055,40,"American Pale Ale (APA)",12
25,"Hopkick Dropkick",2471,0.099,115,"American Double / Imperial IPA",12
25,"Kreamed Corn",2470,0.06,NA,"Cream Ale",12
25,"Coconoats",2464,0.065,NA,"American Pale Wheat Ale",16
25,"Joey Wheat",2160,0.068,16,"American Pale Wheat Ale",16
25,"3:33 Black IPA",2158,0.072,86,"American IPA",16
25,"MCA",2072,0.068,NA,"American IPA",16
25,"Pale Alement",2054,0.055,40,"American Pale Ale (APA)",16
26,"Tip Off",2605,0.052,29,"Altbier",16
26,"Java Mac",2215,0.054,NA,"Scottish Ale",16
26,"Cowbell",2164,0.054,23,"American Porter",16
26,"Hop Up Offa That Brett (2014)",2085,0.058,20,"Belgian Pale Ale",16
26,"PV Muckle (2013)",2084,0.083,23,"Scotch Ale / Wee Heavy",16
26,"Bourbon Barrel Batch 666: Sympathy for the Devil",2083,0.099,36,"Belgian Dark Ale",16
26,"Whip Fight",2082,0.09,30,"Scotch Ale / Wee Heavy",16
26,"Port Barrel Wee Mac ",2081,0.053,23,"Scotch Ale / Wee Heavy",16
26,"Fistful Of Hops Red",2001,0.064,75,"American IPA",16
26,"Fistful of Hops Orange",2000,0.063,75,"American IPA",16
26,"Fistful Of Hops Blue",1999,0.064,75,"American IPA",16
26,"Fistful of Hops Green",1996,0.064,75,"American IPA",16
26,"30 Min Coma",1948,NA,NA,"Belgian IPA",16
26,"Wee Muckle",1656,0.09,30,"Scotch Ale / Wee Heavy",16
26,"Royal Brat",1599,0.065,55,"Extra Special / Strong Bitter (ESB)",16
26,"Grapefruit Jungle (GFJ)",1420,0.075,77,"American IPA",16
26,"Osiris Pale Ale",1389,0.056,50,"American Pale Ale (APA)",16
26,"Bourbon Barrel Aged Timmie",1367,0.099,75,"Russian Imperial Stout",16
26,"Stupid Sexy Flanders",1366,0.063,23,"Flanders Oud Bruin",16
26,"Bourbon Barrel Cowbell",1347,NA,NA,"American Porter",16
26,"Popcorn Pilsner",1314,0.054,NA,"German Pilsener",16
26,"Ring of Dingle",1128,0.071,27,"Irish Dry Stout",16
26,"Bourbon Barrel Wee Mac",1127,0.054,23,"Scottish Ale",16
26,"Bourbon Barrel Johan",1049,0.099,60,"English Barleywine",16
26,"The Deuce",934,0.07,NA,"American Brown Ale",16
26,"The Velvet Fog",923,0.09,24,"Quadrupel (Quad)",16
26,"Sun King Oktoberfest",874,0.055,23,"Märzen / Oktoberfest",16
